Search,ID,Name,City,RoomAndPropertyType,RoomType,RoomTypeCategory,SpaceType,Link,Nightly Cost,Total Cost,BathroomLabel,Bathrooms,BedLabel,BedroomLabel,Bedrooms,Beds,ApproxLat,ApproxLong,Lockbox,Heating,Air Conditioning,Free Parking on Premises,Free Street Parking,Wireless Internet
Melbourne City,11283474,A Cozy & Modern CBD Suite Near Federation Square,Melbourne,Entire apartment,Entire home/apt,entire_home,Entire apartment,https://www.airbnb.com.au/rooms/11283474?guests=1&adults=1&children=0&infants=0&check_in=2019-05-01&check_out=2019-05-05,139.00,725.11,1 bath,1.000000,2 beds,1 bedroom,1,2,-37.816640,144.970150,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
Melbourne City,7968022,The Panorama 1 Bd apt + fireworks in Melbourne CBD,Melbourne,Entire apartment,Entire home/apt,entire_home,Entire apartment,https://www.airbnb.com.au/rooms/7968022?guests=1&adults=1&children=0&infants=0&check_in=2019-05-01&check_out=2019-05-05,135.00,672.58,1 bath,1.000000,2 beds,1 bedroom,1,2,-37.815708,144.953033,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
Melbourne City,15808009,2bdr 2mins to Southern Cross station free carpark,Melbourne,Entire apartment,Entire home/apt,entire_home,Entire apartment,https://www.airbnb.com.au/rooms/15808009?guests=1&adults=1&children=0&infants=0&check_in=2019-05-01&check_out=2019-05-05,168.00,846.15,1 bath,1.000000,3 beds,2 bedrooms,2,3,-37.814020,144.963340,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
Melbourne City,21875052,Living by the Clouds - 1BR Apt @ Melb Central #1,Melbourne,Entire apartment,Entire home/apt,entire_home,Entire apartment,https://www.airbnb.com.au/rooms/21875052?guests=1&adults=1&children=0&infants=0&check_in=2019-05-01&check_out=2019-05-05,137.50,706.84,1 bath,1.000000,1 bed,1 bedroom,1,1,-37.810707,144.960815,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
Melbourne City,14094655,The Alba on Collins in Melbourne CBD,Melbourne,Entire apartment,Entire home/apt,entire_home,Entire apartment,https://www.airbnb.com.au/rooms/14094655?guests=1&adults=1&children=0&infants=0&check_in=2019-05-01&check_out=2019-05-05,126.50,668.02,1 bath,1.000000,2 beds,1 bedroom,1,2,-37.818710,144.954850,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
Melbourne City,3947279,Central Melbourne Studio Apartment,Melbourne,Entire apartment,Entire home/apt,entire_home,Entire apartment,https://www.airbnb.com.au/rooms/3947279?guests=1&adults=1&children=0&infants=0&check_in=2019-05-01&check_out=2019-05-05,95.25,492.16,1 bath,1.000000,1 bed,1 bedroom,1,1,-37.814090,144.966900,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Melbourne City,23791351,2BR Empire Suites in Melbourne CBD (FREE Parking),Melbourne,Entire apartment,Entire home/apt,entire_home,Entire apartment,https://www.airbnb.com.au/rooms/23791351?guests=1&adults=1&children=0&infants=0&check_in=2019-05-01&check_out=2019-05-05,176.50,904.39,1 bath,1.000000,2 beds,2 bedrooms,2,2,-37.809113,144.961502,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
Melbourne City,16877489,EQ Tower Luxury 1 Bedroom Central Melbourne,Melbourne,Entire apartment,Entire home/apt,entire_home,Entire apartment,https://www.airbnb.com.au/rooms/16877489?guests=1&adults=1&children=0&infants=0&check_in=2019-05-01&check_out=2019-05-05,132.00,665.73,1 bath,1.000000,2 beds,1 bedroom,1,2,-37.809696,144.959503,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
Melbourne City,15273990,A Cozy CBD Home with a View of the Yarra,Melbourne,Entire apartment,Entire home/apt,entire_home,Entire apartment,https://www.airbnb.com.au/rooms/15273990?guests=1&adults=1&children=0&infants=0&check_in=2019-05-01&check_out=2019-05-05,136.50,713.69,1 bath,1.000000,1 bed,1 bedroom,1,1,-37.816730,144.953280,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
Melbourne City,2327860,Sea View 2Mins to Station FREE (Tram/POOL/GYM),Melbourne,Entire apartment,Entire home/apt,entire_home,Entire apartment,https://www.airbnb.com.au/rooms/2327860?guests=1&adults=1&children=0&infants=0&check_in=2019-05-01&check_out=2019-05-05,243.50,1197.85,2 baths,2.000000,5 beds,2 bedrooms,2,5,-37.814660,144.951520,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
Melbourne City,26401750,Modern n Cosy L37 Hidden Gem in the heart of Melb,Melbourne,Entire apartment,Entire home/apt,entire_home,Entire apartment,https://www.airbnb.com.au/rooms/26401750?guests=1&adults=1&children=0&infants=0&check_in=2019-05-01&check_out=2019-05-05,106.00,558.39,1 bath,1.000000,1 bed,1 bedroom,1,1,-37.809036,144.961090,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
Melbourne City,18655837,[STAY 4 PAX] 1-BR Apt Next to Emporium (City View),Melbourne,Entire apartment,Entire home/apt,entire_home,Entire apartment,https://www.airbnb.com.au/rooms/18655837?guests=1&adults=1&children=0&infants=0&check_in=2019-05-01&check_out=2019-05-05,125.00,656.60,1 bath,1.000000,2 beds,1 bedroom,1,2,-37.812870,144.961890,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
Melbourne City,9738381,Stylish Apartment with Balcony Views,Melbourne,Entire apartment,Entire home/apt,entire_home,Entire apartment,https://www.airbnb.com.au/rooms/9738381?guests=1&adults=1&children=0&infants=0&check_in=2019-05-01&check_out=2019-05-05,185.00,902.10,1 bath,1.000000,1 bed,1 bedroom,1,1,-37.813360,144.969240,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
Melbourne City,21989334,Friendly central stay/Enjoy all the convenience⍢⃝,Melbourne,Private room in apartment,Private room,private_room,Private room,https://www.airbnb.com.au/rooms/21989334?guests=1&adults=1&children=0&infants=0&check_in=2019-05-01&check_out=2019-05-05,68.00,310.60,1 shared bath,1.000000,1 bed,1 bedroom,1,1,-37.808380,144.959610,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
Melbourne City,13059794,The Harbour view 2bd 2bath apt in CBD,Melbourne,Entire apartment,Entire home/apt,entire_home,Entire apartment,https://www.airbnb.com.au/rooms/13059794?guests=1&adults=1&children=0&infants=0&check_in=2019-05-01&check_out=2019-05-05,182.00,905.53,2 baths,2.000000,4 beds,2 bedrooms,2,4,-37.815708,144.953033,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
Melbourne City,16394007,Sleek Apartment Close to Federation Square,Melbourne,Entire apartment,Entire home/apt,entire_home,Entire apartment,https://www.airbnb.com.au/rooms/16394007?guests=1&adults=1&children=0&infants=0&check_in=2019-05-01&check_out=2019-05-05,205.00,1004.87,2 baths,2.000000,2 beds,2 bedrooms,2,2,-37.815360,144.972100,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
Melbourne City,9242191,New York Style Living@Melb CBD,Melbourne,Entire apartment,Entire home/apt,entire_home,Entire apartment,https://www.airbnb.com.au/rooms/9242191?guests=1&adults=1&children=0&infants=0&check_in=2019-05-01&check_out=2019-05-05,117.00,584.66,1.5 baths,1.500000,2 beds,1 bedroom,1,2,-37.815620,144.956470,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
Melbourne City,19594576,*CBD Art-Inspired Home - Superb Location!,Melbourne,Entire apartment,Entire home/apt,entire_home,Entire apartment,https://www.airbnb.com.au/rooms/19594576?guests=1&adults=1&children=0&infants=0&check_in=2019-05-01&check_out=2019-05-05,115.25,583.51,1 bath,1.000000,2 beds,1 bedroom,1,2,-37.806460,144.961140,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
Melbourne City,22972222,(Golden Rose) In front of southern cross station,Melbourne,Entire apartment,Entire home/apt,entire_home,Entire apartment,https://www.airbnb.com.au/rooms/22972222?guests=1&adults=1&children=0&infants=0&check_in=2019-05-01&check_out=2019-05-05,132.50,662.30,1 bath,1.000000,1 bed,1 bedroom,1,1,-37.816269,144.953262,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
Melbourne City,20791981,"Private room apt, CBD free tram zone",Melbourne,Private room in apartment,Private room,private_room,Private room,https://www.airbnb.com.au/rooms/20791981?guests=1&adults=1&children=0&infants=0&check_in=2019-05-01&check_out=2019-05-05,59.00,292.32,1 private bath,1.000000,1 bed,1 bedroom,1,1,-37.815760,144.952760,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
Melbourne City,18794160,CBD 37TH FLOOR 2BR SUITE FITS 8 - FREE PARKING,Melbourne,Entire condominium,Entire home/apt,entire_home,Entire condominium,https://www.airbnb.com.au/rooms/18794160?guests=1&adults=1&children=0&infants=0&check_in=2019-05-01&check_out=2019-05-05,153.50,791.34,1 bath,1.000000,5 beds,2 bedrooms,2,5,-37.815200,144.953630,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
